# 
# 04/29/2024 08:35:00
# The parameters defined in the project are:
# ,P1 - P3@DS_FLAP_HEIGHT,P2 - P3@DS_LO_RIB_WIDTH1,P3 - P3@DS_LO_RIB_WIDTH2,P4 - P3@DS_LO_RIB_WIDTH3,P5 - P3@DS_LA_RIB_WIDTH1,P8 - Equivalent Stress Maximum [Pa],P9 - Equivalent Elastic Strain Maximum [m m^-1]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P8,P9
DP 101,2.1449,3.0495,1.9123,1.011,2.4777,279029695.18595356,0.0039344656531913923
DP 102,1.5041,2.3627,2.3982,2.0989,1.9224,259061606.82839996,0.0036551429010513756
DP 103,1.7662,1.9621,2.2564,2.2081,2.9402,256935861.88110137,0.0036272710034002862
DP 104,2.5195,2.8157,1.5131,1.8174,1.9194,245315724.7980608,0.0034654485643841326
DP 105,2.5633,1.3086,1.6964,1.7895,4.1383,262061597.76990485,0.003703526861499995
DP 106,1.7973,3.4324,1.3257,2.6194,2.7785,255575506.08181497,0.0036030951111267009
DP 107,1.8071,2.6981,1.97,2.4731,1.7978,254523422.95212626,0.0035924712816874185
DP 108,2.0507,2.768,1.6562,1.8393,2.9654,267454019.60200381,0.0037755092812909018
DP 109,2.0431,2.1774,2.1439,2.1346,2.1464,253014839.09845921,0.0035685669475545487
DP 110,2.1111,0.9396,2.0703,2.7147,1.8773,263749055.78041536,0.0037203410174697638
DP 111,1.7081,3.2244,1.9734,2.0961,1.8052,244591826.22643903,0.00344792622490786
DP 112,2.0944,2.6724,2.0074,2.0062,2.0781,239881992.06044382,0.0033819691743701696
DP 113,2.0421,2.4474,1.9955,2.0776,2.7804,246578830.729405,0.0034789130811325526
DP 114,1.9727,2.4862,2.1761,2.0348,2.2125,253282583.32015648,0.0035750030307099222
DP 115,1.4419,2.0432,1.3434,2.7861,3.1962,286381088.60230446,0.004045482783112675
DP 116,1.8978,1.7519,2.9352,2.561,1.9501,227322571.53114209,0.0032104622572660447
DP 117,2.1679,1.2865,2.7523,2.2583,2.6584,239875803.07989353,0.0033894614782184361
DP 118,2.1445,1.3306,2.1835,2.4476,2.2947,258791703.14825946,0.0036544469767250121
DP 119,2.0567,3.0056,1.3192,2.8087,3.1966,240402977.85864893,0.0033912912688472056
DP 120,2.3509,2.4562,1.9243,1.9632,1.7309,246983503.47978854,0.00348646669752068
DP 121,2.2945,2.7162,2.0265,1.4736,2.9832,250508051.37481105,0.0035334820277057588
DP 122,1.7713,2.3107,2.23,2.4187,2.4279,242420966.234452,0.0034194489209247486
DP 123,2.276,1.5633,1.7241,2.4868,2.4365,263508441.19074321,0.0037160704378038645
DP 124,2.2464,2.7512,2.0905,1.5258,2.324,236404196.097212,0.0033301097961763539
DP 125,2.0884,1.7879,2.3205,2.2335,1.5529,257226030.51272076,0.0036275191232562065
DP 126,2.0523,2.3425,2.1649,2.009,2.5485,248704349.06432328,0.0035113069849709668
DP 127,1.5803,2.405,2.5033,2.15,2.2962,248894737.08818319,0.0035168385365977883
DP 128,2.4395,2.5064,1.4798,1.9304,2.5909,260826888.66873357,0.0036790695972740649
DP 129,2.0283,2.3217,1.8353,2.4713,2.9791,247772358.28146106,0.0034991777502000332
DP 130,1.8865,1.8071,2.1169,2.7325,2.3019,250299824.10214904,0.0035320975690741429
DP 131,2.405,2.4831,1.2816,1.6647,1.2656,284518605.60848391,0.0040126637089997527
DP 132,1.503,2.2312,1.9711,2.7834,2.3197,252940218.73486805,0.0035672486604501805
DP 133,1.7951,2.2663,2.5627,1.7781,2.5811,251562489.38273171,0.0035503050312399864
DP 134,2.551,1.9074,0.8081,2.1512,1.8706,273785744.30221635,0.0038567653779561319
DP 135,2.1872,1.8983,1.5921,2.7289,1.9659,254598559.3783786,0.003595750080421567
DP 136,1.888,2.296,1.7133,2.4919,3.6171,255003410.19452882,0.0035994464415125549
DP 137,2.0359,2.5647,1.4658,2.8442,2.3217,249135248.4288061,0.00351713684254459
DP 138,1.8441,1.6105,2.406,2.6152,2.3715,247490190.19442138,0.0034965997096151114
DP 139,2.1749,1.946,1.9518,2.5724,1.8019,248322678.77902919,0.0035082755410777672
DP 140,1.9745,1.878,2.3104,2.4218,1.8215,247276542.29659986,0.0034931809641420841
DP 141,1.9768,2.2473,1.9098,2.4179,2.5286,250144951.79767755,0.0035315792192704976
DP 142,1.7291,2.2231,1.6434,3.5468,2.6795,240028098.77769843,0.0033918397578721247
DP 143,1.9134,2.2786,2.3878,2.3347,1.6616,240198855.49304825,0.0033924532181117684
DP 144,1.4494,2.1632,2.7008,2.8654,2.0487,220055793.03351745,0.0031062344205565751
DP 145,1.5042,2.5151,1.9469,3.2047,2.9246,237619740.96262476,0.0033507340413052589
DP 146,1.2497,2.686,1.8966,2.3632,2.844,263580489.50114238,0.0037175406469032168
DP 147,1.824,2.1496,1.6309,3.2796,1.6073,246205944.23291904,0.0034754125808831304
DP 148,2.2658,0.9728,2.0511,3.0332,2.6281,248530372.12954548,0.0035067336866632104
DP 149,2.04,2.791,2.409,1.5434,2.6825,247040356.84625748,0.0034892080750848565
DP 150,2.1533,2.1959,1.9662,2.1805,3.1107,251055127.8207016,0.0035482706734910607
DP 151,2.3116,3.0925,2.2734,1.1979,2.9453,232986240.25401077,0.0032848153496161103
DP 152,2.193,2.6,1.904,2.1559,1.6748,244028803.85722524,0.0034434564877301455
DP 153,1.3316,2.4471,1.6488,3.442,1.8871,241788734.77856222,0.0034134123707190156
DP 154,1.799,2.4165,2.0694,2.4665,2.8873,249109913.34823886,0.0035151545307599008
DP 155,1.3461,3.1024,1.6276,2.8589,2.298,250513991.1624963,0.0035387578730781875
DP 156,1.9619,2.3567,1.7975,2.6632,2.2233,248769579.50428951,0.0035124164540320637
DP 157,1.5903,2.6118,2.3093,2.1409,2.4424,246352196.35471442,0.0034774842788465321
DP 158,2.2839,2.427,2.2214,1.2796,1.6401,264487272.43796751,0.0037356378244502203
DP 159,1.852,1.3854,2.2615,2.9278,2.289,245252810.52182874,0.0034599964920845297
DP 160,1.4946,1.6213,2.23,2.7028,1.6897,262640955.97292688,0.0037054533992583552
DP 161,2.0683,2.3225,1.6594,2.5685,2.2347,257394823.58829612,0.0036309355054982007
DP 162,1.5674,1.584,2.0011,2.325,3.229,279175531.77268183,0.0039438880824794369
DP 163,1.3,1.9473,2.1841,2.3825,1.6241,273686112.51326317,0.0038602763670496643
DP 164,1.9412,2.259,2.2129,2.1985,2.6929,250437043.00949144,0.0035393116413615644
DP 165,2.2829,2.1636,1.7255,2.0811,2.61,261459648.45500684,0.0036887003807350993
DP 166,2.3854,2.1379,1.3652,2.4339,2.9268,241939810.6076827,0.0034089297470119265
DP 167,1.5282,2.4738,2.2434,2.2003,1.7636,253839790.26799968,0.0035851159133017062
DP 168,1.9944,1.5583,2.7126,1.973,2.4389,251516155.38660267,0.0035524919803719968
DP 169,2.2743,2.0165,2.0658,1.8587,2.1118,257180425.88321373,0.0036287925904616714
DP 170,1.9908,3.1429,1.8166,1.765,2.2347,267798137.14353761,0.0037806443287990987
DP 171,2.4678,2.8983,1.4815,1.2237,3.7539,271282216.62368155,0.003827722950114144
DP 172,1.7433,3.0391,1.7438,2.5693,2.3526,234125673.23679098,0.0032987630822592312
DP 173,1.8972,0.979,2.1002,1.8891,3.1304,290211531.95639682,0.0040965998944427285
DP 174,2.3789,2.6337,1.599,2.2071,1.7355,253979130.52934813,0.0035877325184022388
DP 175,1.7984,1.9579,1.993,3.0029,2.4182,243082353.97787869,0.003433232952374965
DP 176,2.438,2.45,1.354,2.1901,2.6276,261666792.73548025,0.0036924168525729328
DP 177,2.2092,1.3264,2.3295,2.2785,2.9371,247140887.02169624,0.0034923884668387473
DP 178,2.0349,2.4727,2.0146,2.2682,1.2928,250870003.03366083,0.00354123297923555
DP 179,2.0919,1.8035,1.6673,2.7537,2.4776,260429317.07764378,0.0036810201709158719
DP 180,1.6785,2.3254,1.9725,2.6856,2.6341,247891707.36691219,0.0034970404036963978
DP 181,2.0427,1.2491,2.7684,1.6482,2.5154,254103710.40259561,0.003579435171559453
DP 182,2.3561,1.9264,1.9073,2.143,2.2807,252643931.33637133,0.0035639689886011183
DP 183,1.8435,2.6454,1.9402,2.2635,2.5157,239476447.36002094,0.0033763095270842314
DP 184,2.3741,2.3528,2.0363,1.2939,2.3729,260186745.8890025,0.0036745723802596329
DP 185,1.9326,2.9493,1.5643,2.782,1.6736,245621582.56707215,0.0034672055127365248
DP 186,1.8828,1.5083,1.5967,2.911,1.2155,270295035.75875956,0.0038157838862389326
DP 187,1.6431,2.6152,1.7144,3.1409,1.4256,233478364.53191587,0.0032906666747294366
DP 188,2.1527,2.2551,2.0459,2.204,1.8294,249133602.61199793,0.0035133639882717815
DP 189,1.693,3.2851,2.1205,1.6452,1.9941,250259193.96965945,0.0035281489253975451
DP 190,2.2641,2.1086,2.1061,1.8537,3.1697,248518720.114453,0.0035102441615890712
DP 191,2.2467,2.4569,1.8706,1.9165,2.9277,252996730.69177893,0.003571620094589889
DP 192,2.3238,1.5074,1.1638,2.4516,2.3741,287435365.25033492,0.0040627423441037536
DP 193,2.0919,2.0291,2.1068,2.2023,2.8365,251020679.71881372,0.0035458067432045937
DP 194,2.1091,2.0371,2.1961,2.0504,2.5354,253296211.83109537,0.0035790807700582911
DP 195,1.3132,2.3414,2.5922,1.0921,2.8058,286137135.07840449,0.0040336841983454564
DP 196,2.0491,2.4078,2.105,2.2512,1.778,247528525.392031,0.0034924079664051533
DP 197,1.3711,2.1305,2.2586,2.4516,1.9839,261326751.92209131,0.0036860459949821234
DP 198,2.0233,2.1899,1.3672,2.257,3.2683,283542818.7459119,0.00400068869930692
DP 199,1.9843,1.4654,2.7164,2.313,1.3034,248624659.49722862,0.0035113214049488305
DP 200,1.5553,1.5823,2.4863,2.5917,2.4173,253718276.91347516,0.0035838157138121979
DP 201,1.6001,1.2409,2.58,2.582,2.5395,251508702.68569863,0.0035474964533932507
DP 202,1.9951,1.9739,2.0398,2.0713,3.4895,260549642.03321752,0.0036811565514653921
DP 203,2.0435,2.7448,1.4287,2.607,2.4868,255623649.04575571,0.0036099568408514771
DP 204,2.1946,2.0808,0.9088,2.8644,2.7002,263680637.51047885,0.0037153413674483695
DP 205,1.6846,2.1153,2.4655,2.1804,1.3843,239685706.89805281,0.0033770824316889047
DP 206,1.6619,2.3276,2.3768,2.331,1.8397,251500531.865115,0.003546746534993872
DP 207,1.8615,1.9861,2.1812,2.545,2.5296,246750415.07258019,0.003480641670258982
DP 208,1.6144,2.0067,1.9903,3.0043,1.2601,251483299.85869178,0.0035510931338649243
DP 209,1.9955,1.631,2.295,2.5757,2.1936,252947945.16930839,0.003569586719903681
DP 210,2.118,2.1683,2.3543,1.9557,1.7279,246715351.78898418,0.0034836548438761383
DP 211,2.0429,2.0045,2.3269,1.5601,3.1152,269708614.514438,0.0038046829092005887
DP 212,1.9623,1.9751,1.6145,3.1463,1.3355,254516942.63951537,0.0035923664690926671
DP 213,2.0631,3.0483,1.3957,2.6794,2.5375,244505673.32127756,0.0034539859625510871
DP 214,2.1983,2.4699,2.2233,1.4129,2.4857,246104574.6084227,0.0034697250812314451
DP 215,2.0718,2.2399,2.4006,1.6758,2.7484,252615299.8550764,0.0035688358824700118
DP 216,1.9414,2.7745,1.8725,1.9291,2.546,261012999.6225296,0.0036883947905153036
DP 217,1.2018,2.2986,2.3017,2.1564,2.8351,258867687.48580384,0.0036562110763043165
DP 218,2.2505,2.6956,1.6035,1.9039,2.3314,261980035.5378806,0.003694469202309847
DP 219,2.3278,2.987,1.4789,1.626,2.9541,252965154.7436564,0.0035660823923535645
DP 220,2.071,2.8659,2.0687,1.4182,1.7516,254622805.05546054,0.0035893363412469624
DP 221,2.496,2.7474,1.9505,1.2153,2.1443,237480786.777076,0.0033466797322034836
DP 222,1.8084,1.7035,2.729,1.4656,1.5112,279060314.10548496,0.0039396979555021971
DP 223,1.8807,1.5565,2.5445,2.4735,2.2758,254189128.70713606,0.0035851923748850822
DP 224,1.8974,2.0839,1.8065,2.9592,2.0919,249823813.9606263,0.0035305719939060509
DP 225,2.1037,2.1346,2.4669,1.6021,3.2315,257315482.51508707,0.0036357624456286432
DP 226,2.007,2.0007,2.6155,1.7384,1.7089,256564488.74145481,0.0036222917260602117
DP 227,1.9329,2.4695,1.7088,2.4283,3.0105,257126131.22234222,0.0036320369981694967
DP 228,2.6419,1.2478,1.927,1.9548,2.7728,255305270.87044594,0.0036006131558679044
DP 229,2.0426,2.0466,2.4082,1.9259,1.4757,254393729.97949117,0.0035925700536204707
DP 230,2.2332,2.0012,1.5519,2.4672,2.8794,261648973.9311482,0.003691809510605203
DP 231,2.1309,3.0836,1.8881,1.8235,2.435,240887233.91948318,0.00339693995192647
DP 232,1.8435,1.3885,2.4774,2.399,1.215,272037983.90421,0.0038390850822906941
DP 233,1.7421,2.8796,1.6374,2.5217,2.4516,262235645.11947155,0.003699514277589818
DP 234,2.016,1.7977,2.0838,2.7371,1.9178,236017503.75268015,0.003328875929582864
DP 235,1.9896,3.0253,1.5642,2.0199,3.0688,264485722.18205029,0.0037359229754656553
DP 236,1.7189,3.1975,1.7273,2.3555,2.9574,254659177.04921463,0.0035913965839426965
DP 237,2.1431,2.4709,1.5747,2.1959,1.1817,269496235.02789056,0.0038087780703790486
DP 238,2.5552,2.4373,1.5549,1.3873,2.3143,252012627.23568344,0.0035512593781782519
DP 239,2.067,2.3898,1.9789,2.1694,1.8863,253429983.19779509,0.0035736617033502887
DP 240,1.1292,2.3627,2.48,2.0221,3.2924,255578021.91026387,0.0036040964478161186
DP 241,2.2462,2.7785,1.7868,1.7377,1.2323,258340809.34688786,0.0036464763635938816
DP 242,2.0331,2.884,1.5251999999999999,2.5935,2.5162,252635022.05181983,0.003570824395865202
DP 243,1.4299,1.9569,2.7687,2.1719,2.38,246002345.11216605,0.003473949944600463
DP 244,1.9336,2.8564,1.7862,2.1842,2.2352,252136945.34462631,0.0035628196783363819
DP 245,2.5523,2.5877,1.4499,2.2904,2.4512,229108189.0203481,0.0032337555428966882
DP 246,2.2563,1.5718,2.1813,1.7387,2.0064,274595574.01745421,0.0038717158604413271
DP 247,1.9266,1.0197,2.2496,2.6724,2.9297,263944059.70025051,0.0037276358634699136
DP 248,2.1773,2.6509,1.7217,2.2405,2.0357,247676903.52601057,0.0034974226062851293
DP 249,2.4373,0.9651,2.3398,2.5695,3.6675,225727872.78679109,0.003188537573441863
DP 250,1.9454,2.518,2.3544,1.6655,1.6593,255070381.99259531,0.003597665178988661
DP 251,2.1318,1.3363,2.2671,2.8176,3.0818,240808909.64278185,0.0033988524810411036
DP 252,2.7085,2.3122,1.7594,0.8675,2.0176,260870056.54386765,0.0036825532151851803
DP 253,2.0215,1.6331,1.8943,3.0894,2.6893,243095667.09469664,0.0034345264679619242
DP 254,2.3172,1.7172,1.7017,2.4967,2.2683,262632627.75108066,0.0037039720918983221
DP 255,2.2933,2.1472,2.256,1.4836,2.8796,255994633.55331966,0.0036104565020650624
DP 256,1.9016,2.098,1.041,2.8988,1.4963,290863968.86820561,0.0041020081844180822
DP 257,1.9838,1.6782,2.0162,2.7361,1.9093,264593126.06655031,0.00373222678899765
DP 258,1.6594,2.0891,2.0499,1.4847,1.6189,308673773.43924832,0.0043538797763176262
DP 259,2.0572,2.0525,2.5506,0.9986,2.2063,275512091.43854851,0.003889811784029007
DP 260,2.0243,2.2326,2.227,2.1299,1.6433,246946579.11332753,0.0034853485703933984
DP 261,2.2178,2.6906,1.6251,2.568,1.2911,249442788.50161082,0.0035199031932279467
DP 262,2.0843,2.1058,2.0885,2.2008,2.4079,248808597.04700312,0.003512829658575356
DP 263,1.9997,1.4679,2.3575,2.3883,2.7501,254625740.92560649,0.0035931451711803675
DP 264,2.0626,2.4284,2.5311,1.5921,1.5287,248344450.11664617,0.0035068793804384768
DP 265,2.3169,1.9478,2.0016,1.9428,2.8926,260160056.74622306,0.0036693481379188597
DP 266,1.5612,1.8481,2.1539,2.9724,2.167,243147713.87580726,0.0034318782431496816
DP 267,2.3922,2.6747,1.5895,1.7054,2.6194,256640820.16207647,0.0036235246807336807
DP 268,2.3249,2.6023,0.8531,1.2792,1.5362,346806932.09555072,0.0048941365842308316
DP 269,1.7577,1.8959,2.3234,2.2832,2.5943,259820965.45587841,0.0036678472824860364
DP 270,2.2138,2.1414,1.7688,2.3231,2.3608,260409842.56758109,0.0036732645239681005
DP 271,1.1847,1.8131,2.1958,3.0627,1.9981,247441544.14258432,0.0034941118792630732
DP 272,2.105,2.0497,2.0128,2.4878,1.8372,246197247.36874676,0.0034744794247671962
DP 273,1.2546,2.2689,1.6885,3.1146,3.1243,250886548.05468163,0.0035437223967164757
DP 274,1.9835,1.1767,2.7849,2.1122,2.8801,256695971.57216361,0.0036277627223171294
DP 275,1.9415,2.4692,1.8531,2.2173,3.1289,253111100.17227754,0.0035741265455726534
DP 276,1.8653,2.1943,1.9469,2.7052,2.6316,243881383.45632511,0.0034404412413445804
DP 277,1.7495,2.3754,1.9911,2.4046,2.6309,240654743.75271994,0.0033918865180263915
DP 278,2.4768,0.849,1.7212,2.5117,1.9558,264449625.07859394,0.0037354194093495606
DP 279,2.163,1.3961,2.4211,2.6014,1.6181,236040503.56822979,0.0033340911846607923
DP 280,2.0637,2.5178,1.8312,2.1867,3.1092,249438558.52455443,0.0035222655731356805
DP 281,1.5161,2.5687,1.8744,2.6399,1.1096,261559581.85612002,0.0036878995079961088
DP 282,2.2999,2.7368,1.6884,1.9907,2.5548,239325512.53205493,0.0033733585732989013
DP 283,1.9753,0.9026,2.5218,2.1663,2.2489,288517700.40591127,0.0040697169800599413
DP 284,2.3459,1.3924,1.7029,2.0733,2.6652,274617392.6671105,0.0038721755845472217
